Transaction_ID;Account_ID;Transaction_Date;Transaction_Type;Category;Amount
103937;5191;28.03.2023;Debit;Groceries;$195,54
122341;6118;29.03.2023;Debit;Entertainment;$147,79
177002;8841;29.03.2023;Debit;Online Shopping;$176,73
145106;7248;29.03.2023;Credit;Salary;$1.549,04
165778;8275;30.03.2023;Debit;Travel;$115,65
179356;8964;30.03.2023;Credit;Salary;$1.974,57
188286;9411;30.03.2023;Debit;Online Shopping;$177,97
187271;9367;31.03.2023;Debit;Travel;$169,65
162056;8094;31.03.2023;Credit;Salary;$1.675,44
103926;5191;1.04.2023;Debit;Groceries;$224,82
201773;10071;1.04.2023;Debit;Utilities;$36,24
178930;8943;1.04.2023;Deposit;Investment;$1.786,87
171720;8570;1.04.2023;Debit;Online Shopping;$289,94
215394;10732;2.04.2023;Debit;Groceries;$335,73
204651;10214;3.04.2023;Deposit;Investment;$3.735,70
134399;6724;3.04.2023;Deposit;Investment;$1.852,15
175813;8779;3.04.2023;Debit;Online Shopping;$189,44
215383;10732;4.04.2023;Debit;Entertainment;$285,17
103187;5153;4.04.2023;Debit;Online Shopping;$185,80
167070;8338;4.04.2023;Debit;Utilities;$201,54
189974;9493;5.04.2023;Deposit;Investment;$3.356,35
102164;5102;6.04.2023;Debit;Online Shopping;$170,98
149785;7485;7.04.2023;Debit;Groceries;$205,46
162078;8095;8.04.2023;Debit;Online Shopping;$331,96
187269;9367;8.04.2023;Debit;Travel;$249,79
122323;6117;8.04.2023;Debit;Online Shopping;$64,47
149346;7462;9.04.2023;Debit;Online Shopping;$334,32
156142;7792;10.04.2023;Debit;Travel;$139,34
205775;10265;10.04.2023;Debit;Groceries;$177,62
109700;5482;11.04.2023;Debit;Entertainment;$208,68
149793;7485;11.04.2023;Credit;Salary;$4.723,82
102193;5102;13.04.2023;Debit;Groceries;$238,33
221651;11046;14.04.2023;Debit;Utilities;$301,89
143495;7170;14.04.2023;Debit;Groceries;$195,15
103935;5191;14.04.2023;Debit;Online Shopping;$45,81
184067;9203;14.04.2023;Credit;Salary;$5.277,83
193720;9676;15.04.2023;Debit;Travel;$106,97
117843;5905;15.04.2023;Debit;Travel;$111,71
141424;7070;15.04.2023;Deposit;Investment;$3.489,73
139250;6964;15.04.2023;Debit;Entertainment;$334,35
194609;9724;15.04.2023;Debit;Groceries;$209,82
180660;9025;16.04.2023;Debit;Online Shopping;$65,06
193187;9646;17.04.2023;Debit;Groceries;$320,07
171713;8570;17.04.2023;Debit;Online Shopping;$30,80
176739;8827;18.04.2023;Debit;Travel;$142,51
190657;9523;18.04.2023;Debit;Travel;$217,96
164152;8200;19.04.2023;Debit;Online Shopping;$100,52
122348;6118;19.04.2023;Credit;Salary;$5.827,26
187277;9367;20.04.2023;Debit;Travel;$21,65
189947;9492;20.04.2023;Debit;Online Shopping;$73,82
117288;5876;21.04.2023;Debit;Utilities;$280,67
171728;8570;21.04.2023;Debit;Utilities;$277,09
193184;9646;21.04.2023;Debit;Utilities;$167,73
208781;10413;22.04.2023;Debit;Online Shopping;$338,30
178724;8932;22.04.2023;Debit;Groceries;$114,78
176694;8825;22.04.2023;Deposit;Investment;$2.521,58
159732;7984;23.04.2023;Deposit;Investment;$2.408,37
176723;8827;24.04.2023;Debit;Groceries;$9,84
176736;8827;24.04.2023;Debit;Online Shopping;$300,47
212300;10578;24.04.2023;Debit;Online Shopping;$121,45
187375;9371;24.04.2023;Debit;Utilities;$300,92
203369;10147;24.04.2023;Deposit;Investment;$1.542,77
204681;10215;24.04.2023;Debit;Entertainment;$210,25
156108;7791;25.04.2023;Debit;Entertainment;$92,07
157270;7851;25.04.2023;Debit;Utilities;$344,15
162097;8095;25.04.2023;Debit;Travel;$154,87
117747;5900;27.04.2023;Deposit;Investment;$3.216,93
150411;7515;27.04.2023;Debit;Travel;$78,76
112145;5611;28.04.2023;Debit;Entertainment;$328,23
103932;5191;28.04.2023;Debit;Online Shopping;$315,56
102199;5103;29.04.2023;Deposit;Investment;$693,36
129049;6458;29.04.2023;Debit;Travel;$131,93
112954;5653;30.04.2023;Debit;Online Shopping;$46,64
109704;5482;30.04.2023;Debit;Entertainment;$6,04
130705;6543;30.04.2023;Debit;Entertainment;$57,99
117287;5876;1.05.2023;Debit;Groceries;$228,27
122333;6118;1.05.2023;Debit;Utilities;$9,69
130706;6543;1.05.2023;Debit;Travel;$145,45
212463;10587;1.05.2023;Debit;Travel;$216,17
167092;8338;1.05.2023;Credit;Salary;$5.187,65
193319;9656;2.05.2023;Debit;Entertainment;$254,59
139252;6964;2.05.2023;Debit;Groceries;$19,40
187378;9371;2.05.2023;Debit;Groceries;$120,06
193698;9676;2.05.2023;Debit;Utilities;$48,67
212461;10587;2.05.2023;Credit;Salary;$5.101,14
199255;9946;2.05.2023;Debit;Travel;$25,19
142641;7132;3.05.2023;Debit;Travel;$242,84
142686;7134;3.05.2023;Debit;Utilities;$148,64
210372;10489;4.05.2023;Debit;Groceries;$178,15
142618;7132;4.05.2023;Debit;Online Shopping;$299,56
100842;5041;4.05.2023;Debit;Online Shopping;$302,75
214708;10700;4.05.2023;Debit;Entertainment;$261,90
199270;9946;5.05.2023;Debit;Utilities;$55,00
100818;5041;6.05.2023;Debit;Groceries;$317,93
108140;5403;6.05.2023;Debit;Online Shopping;$14,35
124616;6232;6.05.2023;Deposit;Investment;$1.583,64
100588;5031;6.05.2023;Credit;Salary;$4.574,13
108147;5403;7.05.2023;Debit;Groceries;$120,05
182303;9110;7.05.2023;Debit;Utilities;$199,47
209775;10458;7.05.2023;Credit;Salary;$2.034,54
131475;6585;7.05.2023;Debit;Utilities;$49,56
180657;9025;7.05.2023;Debit;Entertainment;$197,93
156107;7791;8.05.2023;Credit;Salary;$5.191,23
101737;5082;8.05.2023;Debit;Utilities;$241,00
184931;9247;9.05.2023;Debit;Groceries;$125,80
100544;5028;9.05.2023;Debit;Utilities;$343,12
102176;5102;10.05.2023;Debit;Entertainment;$167,66
162204;8100;10.05.2023;Debit;Groceries;$143,53
167224;8344;10.05.2023;Debit;Online Shopping;$154,97
118228;5922;10.05.2023;Credit;Salary;$2.918,85
204921;10226;10.05.2023;Debit;Utilities;$184,97
197302;9847;10.05.2023;Debit;Groceries;$76,04
170412;8507;11.05.2023;Debit;Utilities;$250,76
205761;10265;11.05.2023;Debit;Entertainment;$147,64
197484;9859;12.05.2023;Credit;Salary;$1.961,35
167358;8351;12.05.2023;Debit;Entertainment;$11,94
184908;9246;12.05.2023;Credit;Salary;$4.520,66
149362;7463;12.05.2023;Debit;Travel;$148,34
156115;7791;12.05.2023;Credit;Salary;$1.830,39
192207;9596;13.05.2023;Debit;Online Shopping;$299,19
165766;8274;13.05.2023;Deposit;Investment;$1.528,14
111165;5559;13.05.2023;Credit;Salary;$4.044,97
201768;10071;13.05.2023;Debit;Entertainment;$174,84
134400;6724;14.05.2023;Deposit;Investment;$3.617,34
118245;5924;14.05.2023;Debit;Utilities;$169,05
203370;10147;14.05.2023;Deposit;Investment;$1.198,16
184044;9201;14.05.2023;Credit;Salary;$5.107,19
150906;7541;14.05.2023;Debit;Utilities;$301,24
162046;8094;14.05.2023;Credit;Salary;$3.911,55
149344;7462;15.05.2023;Debit;Groceries;$158,25
150290;7508;15.05.2023;Debit;Entertainment;$147,84
106959;5344;16.05.2023;Debit;Entertainment;$206,56
140587;7028;16.05.2023;Debit;Travel;$245,47
149782;7485;16.05.2023;Debit;Online Shopping;$250,98
103153;5150;16.05.2023;Deposit;Investment;$1.250,61
176717;8827;16.05.2023;Credit;Salary;$5.423,05
159581;7977;16.05.2023;Debit;Online Shopping;$218,22
170415;8507;17.05.2023;Credit;Salary;$4.895,15
150426;7515;17.05.2023;Debit;Utilities;$311,98
212465;10587;17.05.2023;Credit;Salary;$3.348,93
118608;5944;17.05.2023;Credit;Salary;$4.987,68
159567;7977;17.05.2023;Debit;Utilities;$157,42
107451;5371;17.05.2023;Credit;Salary;$4.095,73
189966;9492;17.05.2023;Debit;Entertainment;$27,22
142695;7134;18.05.2023;Debit;Groceries;$206,30
143455;7168;18.05.2023;Debit;Groceries;$244,19
194611;9724;18.05.2023;Debit;Travel;$320,81
108144;5403;18.05.2023;Debit;Travel;$198,79
205752;10265;18.05.2023;Debit;Travel;$170,72
109344;5461;18.05.2023;Debit;Travel;$92,15
210362;10489;18.05.2023;Debit;Travel;$223,38
197256;9846;19.05.2023;Debit;Travel;$53,88
175809;8779;19.05.2023;Debit;Utilities;$293,18
139238;6964;19.05.2023;Debit;Entertainment;$106,06
139590;6981;19.05.2023;Credit;Salary;$4.122,05
197241;9846;19.05.2023;Debit;Entertainment;$42,17
141810;7090;19.05.2023;Credit;Salary;$2.904,87
208764;10413;20.05.2023;Debit;Groceries;$14,07
185608;9281;20.05.2023;Debit;Online Shopping;$239,31
113247;5671;20.05.2023;Debit;Online Shopping;$327,73
160589;8022;21.05.2023;Debit;Entertainment;$199,49
200570;10009;21.05.2023;Credit;Salary;$1.887,62
118267;5924;21.05.2023;Debit;Utilities;$58,94
219915;10962;21.05.2023;Deposit;Investment;$3.794,31
168144;8387;22.05.2023;Deposit;Investment;$4.956,36
146105;7300;22.05.2023;Debit;Groceries;$305,30
202082;10086;23.05.2023;Credit;Salary;$1.804,43
146139;7300;23.05.2023;Debit;Travel;$239,93
178700;8931;23.05.2023;Debit;Travel;$248,34
187284;9367;23.05.2023;Debit;Utilities;$10,52
109446;5467;23.05.2023;Debit;Entertainment;$324,04
143498;7170;23.05.2023;Debit;Travel;$198,56
212457;10587;23.05.2023;Debit;Online Shopping;$253,29
131472;6585;24.05.2023;Debit;Travel;$201,40
103949;5191;24.05.2023;Debit;Online Shopping;$37,11
197283;9847;24.05.2023;Debit;Utilities;$235,80
210346;10489;25.05.2023;Debit;Utilities;$145,44
178746;8933;25.05.2023;Deposit;Investment;$1.456,92
184930;9247;25.05.2023;Debit;Online Shopping;$92,97
156818;7829;25.05.2023;Debit;Utilities;$118,42
149755;7484;25.05.2023;Deposit;Investment;$865,14
189965;9492;25.05.2023;Debit;Travel;$69,86
142719;7135;26.05.2023;Debit;Groceries;$235,98
112181;5612;26.05.2023;Debit;Online Shopping;$281,77
204922;10226;26.05.2023;Debit;Entertainment;$337,89
118602;5944;27.05.2023;Debit;Groceries;$60,62
165782;8275;27.05.2023;Debit;Entertainment;$78,87
212453;10587;27.05.2023;Debit;Utilities;$131,34
176742;8827;27.05.2023;Debit;Utilities;$327,77
188271;9409;28.05.2023;Debit;Groceries;$253,82
192196;9596;28.05.2023;Credit;Salary;$1.680,62
189941;9492;28.05.2023;Debit;Utilities;$7,83
156119;7791;29.05.2023;Debit;Travel;$66,95
167231;8344;29.05.2023;Debit;Entertainment;$51,50
162058;8094;29.05.2023;Debit;Travel;$319,96
193729;9676;30.05.2023;Debit;Utilities;$292,73
118260;5924;30.05.2023;Debit;Online Shopping;$188,67
149223;7456;30.05.2023;Debit;Entertainment;$74,84
185148;9256;30.05.2023;Deposit;Investment;$3.550,00
151726;7582;30.05.2023;Credit;Salary;$2.507,00
186617;9331;30.05.2023;Debit;Groceries;$223,20
206757;10313;30.05.2023;Debit;Groceries;$50,36
180653;9025;31.05.2023;Debit;Groceries;$102,39
147211;7358;31.05.2023;Credit;Salary;$5.502,98
104802;5230;31.05.2023;Deposit;Investment;$926,76
142658;7133;31.05.2023;Debit;Utilities;$47,77
117850;5906;31.05.2023;Debit;Travel;$35,58
139992;7001;31.05.2023;Debit;Entertainment;$285,41
212451;10587;31.05.2023;Debit;Online Shopping;$155,89
192231;9597;1.06.2023;Debit;Online Shopping;$290,86
166617;8318;1.06.2023;Deposit;Investment;$3.352,96
206756;10313;1.06.2023;Credit;Salary;$3.685,15
139612;6981;1.06.2023;Debit;Entertainment;$325,78
139996;7001;2.06.2023;Credit;Salary;$3.639,54
145096;7248;2.06.2023;Debit;Travel;$92,87
170386;8506;2.06.2023;Debit;Online Shopping;$257,33
118656;5945;2.06.2023;Credit;Salary;$2.774,12
171708;8570;2.06.2023;Debit;Travel;$162,11
112184;5612;2.06.2023;Debit;Travel;$215,48
144002;7195;2.06.2023;Debit;Travel;$228,66
150902;7541;3.06.2023;Debit;Groceries;$100,85
209798;10458;3.06.2023;Debit;Groceries;$240,94
102219;5104;3.06.2023;Credit;Salary;$3.458,82
129670;6489;3.06.2023;Debit;Groceries;$204,98
122358;6118;3.06.2023;Debit;Groceries;$220,54
122365;6118;4.06.2023;Debit;Utilities;$32,37
149792;7485;4.06.2023;Debit;Utilities;$214,54
117301;5876;4.06.2023;Credit;Salary;$1.782,65
197280;9847;4.06.2023;Debit;Utilities;$190,26
178705;8931;5.06.2023;Debit;Entertainment;$221,90
212288;10578;5.06.2023;Debit;Travel;$324,05
102200;5103;5.06.2023;Deposit;Investment;$4.750,87
100550;5028;5.06.2023;Credit;Salary;$2.504,95
115515;5786;5.06.2023;Deposit;Investment;$2.825,03
118664;5945;5.06.2023;Debit;Entertainment;$62,62
137688;6885;5.06.2023;Debit;Groceries;$341,59
221647;11046;5.06.2023;Credit;Salary;$3.897,40
144277;7210;6.06.2023;Debit;Utilities;$97,35
145100;7248;6.06.2023;Debit;Travel;$246,02
143510;7170;7.06.2023;Debit;Travel;$82,02
180685;9026;7.06.2023;Debit;Utilities;$157,85
174379;8703;8.06.2023;Debit;Utilities;$246,04
129680;6489;8.06.2023;Debit;Travel;$44,55
185940;9297;8.06.2023;Debit;Entertainment;$294,18
126344;6321;8.06.2023;Debit;Groceries;$165,30
131463;6585;8.06.2023;Debit;Entertainment;$73,12
182494;9119;8.06.2023;Debit;Online Shopping;$248,09
197872;9882;9.06.2023;Debit;Groceries;$18,58
180656;9025;9.06.2023;Debit;Travel;$89,77
126583;6335;9.06.2023;Debit;Entertainment;$9,61
176223;8800;9.06.2023;Debit;Utilities;$334,91
195474;9763;9.06.2023;Debit;Entertainment;$342,32
167521;8358;10.06.2023;Debit;Groceries;$207,72
185944;9297;10.06.2023;Credit;Salary;$5.307,82
133269;6668;10.06.2023;Debit;Travel;$251,11
203615;10160;10.06.2023;Debit;Groceries;$86,68
114991;5760;10.06.2023;Credit;Salary;$2.556,97
118670;5945;10.06.2023;Debit;Utilities;$311,95
149328;7462;10.06.2023;Debit;Utilities;$240,08
102162;5102;10.06.2023;Debit;Travel;$166,99
203605;10160;10.06.2023;Debit;Utilities;$210,94
101288;5061;10.06.2023;Debit;Entertainment;$339,92
106435;5317;10.06.2023;Debit;Utilities;$265,92
157264;7851;10.06.2023;Debit;Travel;$64,06
187359;9371;11.06.2023;Debit;Travel;$249,92
143504;7170;11.06.2023;Debit;Entertainment;$115,26
144248;7209;11.06.2023;Debit;Utilities;$40,67
209787;10458;12.06.2023;Debit;Utilities;$288,97
171756;8571;12.06.2023;Debit;Online Shopping;$232,81
167366;8351;12.06.2023;Debit;Online Shopping;$141,82
140060;7005;12.06.2023;Debit;Entertainment;$21,06
116368;5835;12.06.2023;Debit;Online Shopping;$86,89
157247;7851;12.06.2023;Debit;Online Shopping;$106,27
182313;9110;12.06.2023;Debit;Groceries;$65,58
112964;5653;12.06.2023;Debit;Entertainment;$143,95
147209;7358;12.06.2023;Debit;Online Shopping;$267,40
139805;6990;13.06.2023;Debit;Travel;$16,43
151755;7582;13.06.2023;Credit;Salary;$5.557,83
159733;7984;13.06.2023;Deposit;Investment;$3.857,64
100600;5031;13.06.2023;Credit;Salary;$2.306,37
142684;7134;13.06.2023;Credit;Salary;$3.065,36
112505;5630;13.06.2023;Debit;Utilities;$299,57
165764;8274;13.06.2023;Deposit;Investment;$1.885,46
119630;5988;14.06.2023;Credit;Salary;$4.882,79
208738;10412;14.06.2023;Debit;Online Shopping;$167,31
139616;6982;14.06.2023;Deposit;Investment;$2.841,79
186315;9313;14.06.2023;Debit;Entertainment;$79,65
139792;6990;15.06.2023;Debit;Online Shopping;$208,63
146165;7302;15.06.2023;Debit;Entertainment;$196,48
218351;10884;15.06.2023;Debit;Groceries;$316,06
182289;9109;15.06.2023;Deposit;Investment;$1.774,51
141886;7095;16.06.2023;Debit;Travel;$150,58
211570;10545;16.06.2023;Credit;Salary;$5.944,35
211402;10535;16.06.2023;Debit;Entertainment;$112,01
177018;8841;16.06.2023;Debit;Online Shopping;$154,09
101976;5095;16.06.2023;Debit;Utilities;$319,24
100608;5031;17.06.2023;Debit;Entertainment;$186,77
122319;6117;17.06.2023;Debit;Travel;$26,60
112168;5612;17.06.2023;Debit;Utilities;$133,28
107439;5371;17.06.2023;Debit;Groceries;$75,59
131486;6585;17.06.2023;Debit;Online Shopping;$197,22
169951;8481;17.06.2023;Deposit;Investment;$4.364,46
158156;7900;18.06.2023;Debit;Utilities;$139,95
170263;8499;18.06.2023;Deposit;Investment;$4.949,13
117748;5900;18.06.2023;Deposit;Investment;$4.268,07
141827;7091;18.06.2023;Debit;Entertainment;$152,47
175821;8779;18.06.2023;Debit;Entertainment;$275,29
118618;5944;18.06.2023;Debit;Utilities;$115,88
172861;8626;19.06.2023;Debit;Utilities;$12,87
187370;9371;19.06.2023;Debit;Entertainment;$202,41
182300;9110;19.06.2023;Debit;Entertainment;$277,96
190640;9523;19.06.2023;Debit;Online Shopping;$88,18
142517;7127;19.06.2023;Deposit;Investment;$4.347,02
118639;5945;19.06.2023;Debit;Groceries;$12,94
206754;10313;19.06.2023;Debit;Utilities;$111,88
137269;6867;19.06.2023;Debit;Online Shopping;$231,02
200587;10009;19.06.2023;Credit;Salary;$3.014,49
165786;8275;20.06.2023;Credit;Salary;$1.625,86
149336;7462;20.06.2023;Debit;Entertainment;$15,44
133286;6671;20.06.2023;Debit;Utilities;$319,69
209790;10458;20.06.2023;Debit;Groceries;$214,38
166603;8317;20.06.2023;Debit;Online Shopping;$287,57
100616;5031;20.06.2023;Debit;Online Shopping;$26,37
216363;10779;20.06.2023;Debit;Travel;$180,39
197452;9859;20.06.2023;Debit;Travel;$292,13
130700;6543;21.06.2023;Debit;Travel;$304,01
159123;7952;21.06.2023;Deposit;Investment;$1.979,90
118256;5924;21.06.2023;Credit;Salary;$1.718,92
206762;10313;21.06.2023;Debit;Entertainment;$295,72
175818;8779;21.06.2023;Debit;Entertainment;$250,16
100840;5041;22.06.2023;Debit;Travel;$136,28
166381;8308;22.06.2023;Credit;Salary;$1.807,89
153268;7649;22.06.2023;Deposit;Investment;$1.059,58
185558;9280;22.06.2023;Debit;Travel;$302,72
188318;9413;22.06.2023;Deposit;Investment;$4.305,30
159579;7977;22.06.2023;Credit;Salary;$4.251,05
138667;6934;22.06.2023;Debit;Travel;$102,04
220436;10989;22.06.2023;Debit;Travel;$104,29
176733;8827;23.06.2023;Debit;Groceries;$48,07
156106;7791;23.06.2023;Debit;Groceries;$335,17
126342;6321;23.06.2023;Debit;Utilities;$151,18
186646;9332;23.06.2023;Debit;Groceries;$178,42
143963;7193;24.06.2023;Debit;Groceries;$6,98
206932;10319;24.06.2023;Debit;Utilities;$341,91
204911;10226;24.06.2023;Credit;Salary;$4.840,82
210348;10489;24.06.2023;Credit;Salary;$5.929,78
118264;5924;24.06.2023;Debit;Online Shopping;$179,31
122363;6118;24.06.2023;Debit;Travel;$285,14
149374;7463;24.06.2023;Debit;Travel;$299,63
220440;10989;24.06.2023;Debit;Online Shopping;$143,18
193317;9656;24.06.2023;Debit;Entertainment;$332,65
169643;8462;24.06.2023;Debit;Travel;$270,55
180045;8996;25.06.2023;Debit;Entertainment;$204,20
112969;5653;25.06.2023;Debit;Entertainment;$179,97
153540;7661;25.06.2023;Debit;Utilities;$251,12
156132;7792;25.06.2023;Debit;Travel;$54,07
185552;9280;25.06.2023;Debit;Entertainment;$158,07
100816;5041;25.06.2023;Debit;Online Shopping;$31,95
118663;5945;25.06.2023;Credit;Salary;$3.452,19
202275;10097;25.06.2023;Debit;Groceries;$111,86
109317;5461;26.06.2023;Debit;Entertainment;$21,29
117840;5905;26.06.2023;Debit;Utilities;$327,77
183313;9161;26.06.2023;Credit;Salary;$1.996,29
188249;9409;26.06.2023;Debit;Online Shopping;$144,23
160572;8022;26.06.2023;Debit;Utilities;$132,41
177009;8841;26.06.2023;Debit;Travel;$155,98
141814;7090;26.06.2023;Debit;Travel;$70,45
221660;11046;26.06.2023;Credit;Salary;$4.867,73
184434;9219;26.06.2023;Debit;Entertainment;$294,05
101287;5061;27.06.2023;Debit;Utilities;$224,19
218352;10884;27.06.2023;Credit;Salary;$2.470,46
144273;7210;27.06.2023;Debit;Online Shopping;$261,18
124596;6231;27.06.2023;Debit;Utilities;$40,51
156140;7792;27.06.2023;Debit;Groceries;$151,50
194610;9724;27.06.2023;Debit;Entertainment;$159,84
216218;10772;27.06.2023;Debit;Travel;$336,54
167522;8358;27.06.2023;Debit;Utilities;$31,49
194707;9728;27.06.2023;Debit;Utilities;$209,63
159400;7970;27.06.2023;Debit;Online Shopping;$312,96
202289;10097;27.06.2023;Credit;Salary;$1.670,61
169635;8462;28.06.2023;Debit;Travel;$191,56
129665;6489;28.06.2023;Debit;Travel;$111,93
215372;10731;29.06.2023;Debit;Groceries;$208,92
184060;9203;29.06.2023;Debit;Online Shopping;$75,12
198073;9890;29.06.2023;Debit;Entertainment;$235,40
109431;5467;29.06.2023;Debit;Utilities;$300,08
146049;7296;29.06.2023;Debit;Utilities;$55,46
100825;5041;29.06.2023;Debit;Entertainment;$188,03
194715;9728;29.06.2023;Credit;Salary;$2.449,39
126595;6335;30.06.2023;Debit;Travel;$124,72
106412;5315;30.06.2023;Debit;Travel;$248,68
193716;9676;30.06.2023;Debit;Utilities;$129,43
109325;5461;30.06.2023;Debit;Travel;$152,55
206903;10319;30.06.2023;Debit;Travel;$247,34
188924;9445;30.06.2023;Debit;Entertainment;$27,49
149375;7463;30.06.2023;Debit;Utilities;$312,04
126370;6323;30.06.2023;Deposit;Investment;$4.419,26
180035;8996;1.07.2023;Debit;Entertainment;$252,49
111184;5559;1.07.2023;Debit;Travel;$143,25
112499;5630;1.07.2023;Debit;Travel;$127,64
141957;7099;1.07.2023;Debit;Utilities;$13,45
212293;10578;1.07.2023;Credit;Salary;$2.318,45
160080;8001;1.07.2023;Debit;Utilities;$106,47
149754;7484;2.07.2023;Deposit;Investment;$2.258,45
195483;9763;2.07.2023;Debit;Utilities;$328,13
104835;5232;2.07.2023;Debit;Entertainment;$280,84
192225;9597;2.07.2023;Debit;Groceries;$82,13
192190;9596;2.07.2023;Debit;Utilities;$293,21
205747;10265;2.07.2023;Debit;Travel;$207,00
170383;8506;2.07.2023;Debit;Utilities;$133,54
102190;5102;2.07.2023;Debit;Utilities;$228,79
162944;8138;2.07.2023;Debit;Travel;$267,32
129810;6496;3.07.2023;Credit;Salary;$2.192,22
121077;6056;3.07.2023;Debit;Utilities;$295,38
204645;10213;3.07.2023;Debit;Entertainment;$196,63
108510;5424;3.07.2023;Debit;Online Shopping;$13,98
149368;7463;3.07.2023;Debit;Travel;$262,21
129690;6490;3.07.2023;Debit;Entertainment;$295,31
118400;5933;3.07.2023;Debit;Online Shopping;$189,02
214835;10705;3.07.2023;Debit;Groceries;$247,52
147428;7367;3.07.2023;Debit;Utilities;$186,31
126616;6336;3.07.2023;Deposit;Investment;$3.316,86
103947;5191;3.07.2023;Debit;Entertainment;$197,88
150413;7515;4.07.2023;Debit;Online Shopping;$115,38
112963;5653;4.07.2023;Debit;Travel;$200,55
186627;9332;4.07.2023;Debit;Online Shopping;$284,91
170431;8508;4.07.2023;Debit;Groceries;$300,63
203337;10144;4.07.2023;Debit;Online Shopping;$41,13
144254;7209;4.07.2023;Credit;Salary;$1.977,75
126356;6321;5.07.2023;Debit;Online Shopping;$105,72
143995;7194;5.07.2023;Debit;Entertainment;$89,96
147188;7358;5.07.2023;Debit;Groceries;$215,25
100617;5031;5.07.2023;Debit;Utilities;$281,91
188909;9443;5.07.2023;Debit;Groceries;$57,00
119652;5988;5.07.2023;Credit;Salary;$2.688,70
189956;9492;5.07.2023;Debit;Travel;$97,62
146132;7300;5.07.2023;Debit;Groceries;$249,47
215386;10732;6.07.2023;Debit;Travel;$291,17
100589;5031;6.07.2023;Credit;Salary;$3.155,52
189975;9494;6.07.2023;Debit;Online Shopping;$246,95
150323;7509;6.07.2023;Debit;Utilities;$124,44
118652;5945;6.07.2023;Debit;Online Shopping;$327,97
156929;7833;6.07.2023;Debit;Travel;$19,67
127038;6360;6.07.2023;Credit;Salary;$4.324,73
186631;9332;7.07.2023;Credit;Salary;$4.712,84
150306;7508;7.07.2023;Debit;Utilities;$290,57
175931;8784;7.07.2023;Debit;Online Shopping;$235,28
117456;5885;7.07.2023;Debit;Utilities;$172,73
153538;7661;7.07.2023;Debit;Utilities;$110,17
102208;5104;7.07.2023;Debit;Utilities;$259,87
173082;8638;7.07.2023;Debit;Groceries;$215,05
188313;9412;7.07.2023;Debit;Utilities;$280,76
160071;8001;7.07.2023;Debit;Entertainment;$348,89
101744;5082;7.07.2023;Debit;Travel;$119,72
123131;6159;7.07.2023;Debit;Entertainment;$346,60
129850;6498;7.07.2023;Debit;Travel;$196,78
