Account_ID;Customer_ID;Account_Type;Open_Date;Balance
5090;1047;Savings;9.04.2026;$6.980,34
5091;1047;Checking;1.05.2026;$2.333,66
5092;1048;Credit Card;25.05.2024;-$4.160,75
5093;1048;Checking;1.05.2024;$19.210,52
5094;1048;Savings;25.05.2024;$44.158,49
5095;1049;Credit Card;18.05.2023;-$4.577,54
5096;1050;Credit Card;1.05.2026;-$6.913,72
5097;1051;Checking;30.12.2023;$1.994,06
5098;1051;Savings;24.11.2023;$105.991,61
5099;1051;Credit Card;14.09.2023;-$6.466,88
5100;1052;Savings;20.02.2026;$47.095,51
5101;1052;Credit Card;3.02.2026;-$4.076,46
5102;1053;Credit Card;18.03.2023;-$332,86
5103;1053;Savings;12.04.2023;$17.460,68
5104;1053;Checking;30.03.2023;$8.503,60
5105;1054;Credit Card;15.10.2023;-$2.024,65
5106;1054;Savings;7.01.2024;$49.500,93
5107;1055;Credit Card;1.01.2025;-$5.097,36
5108;1055;Checking;25.02.2025;$1.326,71
5109;1056;Checking;1.03.2026;$9.241,53
5110;1056;Credit Card;1.05.2026;-$1.380,39
5111;1056;Savings;21.04.2026;$7.053,44
5112;1057;Checking;1.05.2026;$2.804,13
5113;1057;Credit Card;1.05.2026;-$6.244,95
5114;1057;Savings;23.04.2026;$26.916,64
5115;1058;Credit Card;5.09.2024;-$797,19
5116;1058;Savings;17.07.2024;$12.946,47
5117;1059;Savings;4.01.2024;$97.036,85
5118;1059;Credit Card;26.02.2024;-$5.988,85
5119;1059;Checking;23.12.2023;$5.664,41
5120;1060;Savings;7.02.2024;$63.720,87
5121;1061;Savings;19.10.2023;$45.326,68
5122;1061;Credit Card;24.10.2023;-$4.787,58
5123;1061;Checking;28.07.2023;$6.537,75
5124;1062;Credit Card;6.10.2024;-$2.093,50
5125;1063;Checking;21.05.2024;$8.017,40
5126;1063;Credit Card;26.03.2024;-$6.738,26
5127;1063;Savings;30.07.2024;$30.361,98
5128;1064;Credit Card;3.08.2023;-$792,50
5129;1065;Credit Card;4.02.2024;-$575,45
5130;1065;Savings;20.01.2024;$30.388,95
5131;1065;Checking;18.03.2024;$3.079,19
5132;1066;Credit Card;1.03.2025;-$3.712,47
5133;1066;Savings;27.11.2024;$40.772,45
5134;1067;Checking;20.01.2024;$4.465,73
5135;1067;Credit Card;25.02.2024;-$2.337,43
5136;1068;Credit Card;3.11.2024;-$288,38
5137;1068;Checking;24.01.2025;$6.447,27
5138;1069;Credit Card;4.07.2024;-$2.350,75
5139;1069;Checking;17.02.2024;$10.336,03
5140;1069;Savings;11.07.2024;$22.691,29
5141;1070;Savings;14.08.2023;$78.008,11
5142;1071;Savings;16.09.2024;$16.053,40
5143;1072;Checking;17.04.2024;$4.077,46
5144;1073;Credit Card;26.03.2025;-$669,05
5145;1074;Credit Card;17.03.2026;-$4.800,31
5146;1075;Credit Card;18.07.2024;-$5.668,34
5147;1075;Checking;11.07.2024;$17.591,05
5148;1075;Savings;29.04.2024;$75.097,09
5149;1076;Credit Card;22.02.2025;-$279,84
5150;1077;Savings;10.03.2023;$40.660,34
5151;1078;Credit Card;30.07.2023;-$2.673,44
5152;1078;Savings;22.02.2023;$61.298,54
5153;1078;Checking;1.03.2023;$15.166,33
5154;1079;Savings;14.04.2024;$7.052,54
5155;1079;Checking;5.12.2023;$18.787,78
5156;1079;Credit Card;9.02.2024;-$4.324,73
5157;1080;Credit Card;12.08.2023;-$1.534,36
5158;1080;Checking;22.10.2023;$10.975,41
5159;1080;Savings;8.10.2023;$58.247,54
5160;1081;Credit Card;8.09.2024;-$2.981,38
5161;1081;Savings;31.07.2024;$47.869,10
5162;1081;Checking;5.07.2024;$15.232,25
5163;1082;Checking;9.04.2025;$5.005,75
5164;1083;Checking;6.05.2024;$3.068,18
5165;1083;Savings;15.02.2024;$115.236,83
5166;1083;Credit Card;25.05.2024;-$538,70
5167;1084;Credit Card;30.12.2025;-$3.016,12
5168;1085;Savings;23.01.2025;$65.789,71
5169;1086;Savings;2.03.2024;$107.868,93
5170;1086;Checking;29.05.2024;$4.488,98
5171;1086;Credit Card;29.04.2024;-$6,87
5172;1087;Checking;14.12.2023;$17.747,73
5173;1087;Credit Card;16.10.2023;-$1.868,39
5174;1087;Savings;18.11.2023;$42.318,36
5175;1088;Credit Card;18.10.2023;-$6.229,84
5176;1089;Credit Card;21.04.2024;-$4.762,50
5177;1089;Savings;29.05.2024;$49.684,79
5178;1089;Checking;5.03.2024;$4.221,11
5179;1090;Savings;4.02.2025;$32.423,16
5180;1091;Savings;1.05.2026;$31.285,28
5181;1091;Checking;1.05.2026;$202,31
5182;1092;Credit Card;15.06.2025;-$548,88
5183;1092;Savings;13.05.2025;$80.772,95
5184;1093;Savings;27.02.2024;$119.025,02
5185;1093;Credit Card;6.02.2024;-$884,63
5186;1094;Credit Card;17.04.2024;-$1.005,29
5187;1095;Savings;6.01.2024;$49.119,62
5188;1095;Checking;1.04.2024;$18.798,12
5189;1095;Credit Card;21.04.2024;-$5.913,55
5190;1096;Credit Card;18.01.2023;-$3.812,50
5191;1096;Checking;28.02.2023;$16.695,35
5192;1096;Savings;25.01.2023;$48.448,18
5193;1097;Checking;12.04.2026;$16.733,79
5194;1098;Checking;1.06.2025;$16.260,46
5195;1098;Savings;16.02.2025;$8.837,52
5196;1098;Credit Card;14.02.2025;-$624,92
5197;1099;Checking;22.01.2025;$364,52
5198;1099;Credit Card;28.03.2025;-$510,58
5199;1100;Credit Card;4.05.2025;-$2.142,49
5200;1100;Checking;4.05.2025;$19.526,60
5201;1101;Savings;3.04.2024;$100.420,47
5202;1102;Credit Card;29.08.2023;-$4.659,36
5203;1102;Checking;5.10.2023;$4.724,13
5204;1103;Checking;24.12.2025;$19.181,61
5205;1103;Credit Card;19.12.2025;-$1.397,28
5206;1103;Savings;21.08.2025;$27.509,67
5207;1104;Credit Card;1.03.2026;-$2.646,66
5208;1105;Savings;13.03.2025;$30.446,45
5209;1105;Checking;15.04.2025;$4.257,01
5210;1105;Credit Card;19.06.2025;-$6.497,47
5211;1106;Savings;4.05.2023;$71.855,42
5212;1106;Credit Card;29.05.2023;-$5.592,46
5213;1107;Credit Card;20.01.2024;-$2.402,00
5214;1108;Credit Card;4.12.2025;-$6.627,34
5215;1109;Checking;31.12.2024;$3.141,53
5216;1109;Credit Card;26.10.2024;-$4.474,70
5217;1110;Checking;4.04.2025;$15.853,68
5218;1110;Credit Card;21.03.2025;-$1.862,04
5219;1111;Checking;21.03.2024;$6.973,36
5220;1111;Credit Card;29.11.2023;-$6.505,44
5221;1112;Savings;1.05.2026;$52.582,45
5222;1113;Savings;4.07.2024;$39.977,08
5223;1114;Checking;28.09.2024;$3.787,95
5224;1114;Savings;22.08.2024;$72.486,68
5225;1115;Credit Card;24.05.2024;-$2.244,39
5226;1116;Credit Card;1.05.2026;-$354,39
5227;1117;Credit Card;1.05.2026;-$5.112,10
5228;1118;Savings;27.02.2025;$53.822,71
5229;1118;Credit Card;20.05.2025;-$2.090,48
5230;1119;Savings;15.04.2023;$98.356,34
5231;1119;Credit Card;16.07.2023;-$3.943,07
5232;1119;Checking;14.04.2023;$13.079,35
5233;1120;Credit Card;1.05.2026;-$4.463,33
5234;1121;Savings;23.06.2024;$12.642,59
5235;1121;Credit Card;14.08.2024;-$554,02
5236;1121;Checking;4.06.2024;$6.083,74
5237;1122;Checking;27.06.2025;$4.685,74
5238;1122;Credit Card;22.03.2025;-$3.048,89
5239;1123;Checking;9.06.2024;$6.383,53
5240;1123;Savings;10.06.2024;$6.515,82
5241;1124;Credit Card;1.05.2026;-$6.985,54
5242;1124;Checking;1.05.2026;$15.099,06
5243;1124;Savings;1.05.2026;$31.155,39
5244;1125;Savings;10.01.2024;$7.029,74
5245;1125;Credit Card;25.12.2023;-$1.309,52
5246;1125;Checking;9.12.2023;$19.075,68
5247;1126;Savings;8.03.2024;$113.066,94
5248;1127;Credit Card;16.12.2024;-$1.059,81
5249;1127;Checking;18.12.2024;$12.041,77
5250;1127;Savings;18.11.2024;$49.309,72
5251;1128;Savings;25.05.2025;$34.260,82
5252;1128;Credit Card;4.05.2025;-$1.154,25
5253;1128;Checking;1.12.2024;$4.455,29
5254;1129;Checking;1.05.2026;$12.625,02
5255;1129;Savings;1.05.2026;$45.972,85
5256;1129;Credit Card;1.05.2026;-$23,90
5257;1130;Credit Card;29.06.2024;-$769,85
5258;1131;Savings;24.06.2024;$70.070,00
5259;1132;Credit Card;10.04.2025;-$6.523,09
5260;1132;Savings;5.01.2025;$59.685,62
5261;1133;Checking;31.12.2025;$9.122,47
5262;1133;Credit Card;22.12.2025;-$1.704,05
5263;1134;Savings;10.04.2024;$65.235,39
5264;1135;Credit Card;4.08.2024;-$6.231,82
5265;1136;Checking;1.04.2024;$9.162,09
5266;1136;Savings;5.03.2024;$67.920,43
5267;1137;Credit Card;27.11.2023;-$6.705,89
5268;1137;Checking;5.04.2024;$15.521,12
5269;1137;Savings;31.12.2023;$32.145,33
5270;1138;Checking;10.02.2025;$8.470,93
5271;1138;Credit Card;21.03.2025;-$1.657,44
5272;1139;Checking;11.11.2023;$9.009,45
5273;1140;Checking;18.05.2024;$5.024,96
5274;1140;Savings;4.02.2024;$37.203,64
5275;1140;Credit Card;19.04.2024;-$658,29
5276;1141;Savings;27.05.2025;$116.481,68
5277;1142;Checking;1.10.2023;$232,85
5278;1142;Credit Card;1.11.2023;-$5.584,63
5279;1142;Savings;22.08.2023;$89.601,52
5280;1143;Savings;29.05.2025;$42.300,13
5281;1143;Checking;29.07.2025;$6.294,24
5282;1144;Credit Card;1.10.2024;-$6.646,95
5283;1144;Checking;20.09.2024;$9.208,85
5284;1144;Savings;30.07.2024;$59.314,45
5285;1145;Savings;9.07.2024;$29.995,76
5286;1146;Credit Card;12.01.2026;-$6.908,18
5287;1147;Checking;6.07.2023;$4.359,06
5288;1147;Credit Card;5.06.2023;-$5.251,29
5289;1148;Credit Card;24.05.2024;-$3.751,39
5290;1148;Savings;19.05.2024;$56.392,73
5291;1149;Checking;28.07.2023;$10.525,13
5292;1149;Savings;2.08.2023;$118.213,64
5293;1149;Credit Card;6.06.2023;-$3.134,33
5294;1150;Credit Card;14.12.2023;-$3.218,21
5295;1151;Savings;4.03.2026;$27.539,07
5296;1151;Credit Card;22.03.2026;-$3.292,08
5297;1151;Checking;22.12.2025;$12.303,28
5298;1152;Credit Card;31.07.2023;-$185,31
5299;1152;Checking;16.07.2023;$2.747,02
5300;1152;Savings;15.06.2023;$95.903,08
5301;1153;Checking;31.10.2025;$15.948,74
5302;1153;Savings;19.12.2025;$16.531,23
5303;1154;Checking;29.10.2024;$19.233,87
5304;1154;Savings;24.01.2025;$37.765,13
5305;1154;Credit Card;11.08.2024;-$2.861,74
5306;1155;Credit Card;5.09.2023;-$4.662,85
5307;1156;Checking;19.08.2024;$17.021,52
5308;1156;Credit Card;14.04.2024;-$2.662,93
5309;1156;Savings;13.07.2024;$68.262,96
5310;1157;Checking;12.12.2023;$830,26
5311;1157;Savings;1.11.2023;$107.086,30
5312;1158;Savings;18.10.2025;$49.883,64
5313;1158;Credit Card;18.02.2026;-$242,33
5314;1159;Savings;30.06.2024;$31.977,48
5315;1160;Checking;8.03.2023;$17.291,15
5316;1161;Savings;14.08.2023;$85.588,43
5317;1161;Credit Card;18.05.2023;-$3.164,76
5318;1162;Savings;7.07.2024;$55.928,18
5319;1162;Credit Card;8.12.2024;-$6.527,96
5320;1163;Checking;26.12.2024;$19.681,64
5321;1164;Savings;15.05.2024;$82.415,21
5322;1164;Credit Card;14.08.2024;-$4.923,05
5323;1164;Checking;18.04.2024;$16.800,17
5324;1165;Credit Card;1.05.2026;-$6.185,30
5325;1165;Checking;14.02.2026;$174,31
5326;1166;Checking;3.11.2023;$11.652,51
5327;1167;Credit Card;16.07.2025;-$6.803,99
5328;1167;Savings;18.05.2025;$92.299,23
5329;1167;Checking;13.03.2025;$12.344,45
5330;1168;Checking;29.04.2025;$11.101,57
5331;1168;Credit Card;26.06.2025;-$4.148,01
5332;1169;Savings;2.04.2026;$73.865,02
5333;1170;Credit Card;25.10.2023;-$5.925,82
5334;1170;Savings;23.10.2023;$8.287,45
5335;1171;Savings;7.02.2025;$80.316,87
5336;1171;Checking;17.02.2025;$13.967,38
5337;1171;Credit Card;13.07.2025;-$6.382,58
5338;1172;Credit Card;13.12.2025;-$2.435,68
5339;1172;Checking;13.08.2025;$6.416,53
5340;1173;Credit Card;17.01.2026;-$117,04
5341;1173;Checking;7.12.2025;$10.259,87
5342;1173;Savings;3.02.2026;$113.932,55
5343;1174;Savings;18.06.2023;$32.593,08
5344;1174;Checking;28.03.2023;$7.437,91
5345;1174;Credit Card;30.03.2023;-$5.525,49
5346;1175;Savings;28.06.2025;$75.006,09
5347;1176;Checking;8.05.2025;$19.170,50
5348;1176;Savings;27.03.2025;$76.755,20
5349;1177;Checking;18.01.2024;$18.533,49
5350;1178;Credit Card;24.02.2025;-$4.482,50
5351;1178;Checking;11.02.2025;$19.009,22
5352;1179;Checking;25.10.2024;$15.923,27
5353;1180;Credit Card;22.12.2025;-$2.896,36
5354;1180;Checking;9.02.2026;$4.891,96
5355;1181;Credit Card;2.03.2025;-$1.330,74
5356;1182;Credit Card;24.06.2024;-$4.959,06
5357;1182;Savings;23.09.2024;$73.293,07
5358;1183;Savings;1.05.2026;$80.266,88
5359;1184;Savings;1.05.2026;$33.938,09
5360;1185;Credit Card;12.11.2025;-$2.438,63
5361;1185;Savings;11.10.2025;$14.891,85
5362;1186;Savings;12.10.2023;$52.100,39
5363;1187;Credit Card;16.06.2024;-$6.972,92
5364;1187;Checking;3.04.2024;$14.478,24
5365;1187;Savings;10.03.2024;$104.279,52
5366;1188;Checking;29.04.2026;$7.324,26
5367;1188;Credit Card;7.02.2026;-$4.389,56
5368;1188;Savings;13.03.2026;$78.762,97
5369;1189;Savings;17.11.2024;$40.623,07
5370;1190;Savings;3.07.2023;$43.919,52
5371;1190;Checking;20.03.2023;$15.270,75
5372;1191;Credit Card;14.04.2024;-$5.560,43
5373;1191;Savings;26.05.2024;$44.006,44
5374;1192;Checking;28.01.2024;$1.766,78
5375;1193;Credit Card;8.12.2024;-$2.237,54
5376;1194;Credit Card;29.09.2025;-$1.891,91
5377;1194;Checking;5.11.2025;$18.571,25
5378;1194;Savings;6.08.2025;$47.724,53
5379;1195;Savings;1.09.2025;$68.079,62
5380;1195;Credit Card;23.12.2025;-$6.456,01
5381;1195;Checking;23.11.2025;$11.174,28
5382;1196;Savings;2.01.2026;$96.801,99
5383;1196;Checking;12.12.2025;$3.471,54
5384;1196;Credit Card;7.03.2026;-$6.443,27
5385;1197;Credit Card;19.11.2025;-$6.378,64
5386;1197;Savings;31.01.2026;$89.533,45
5387;1197;Checking;14.01.2026;$17.807,14
5388;1198;Credit Card;21.10.2025;-$5.699,50
5389;1198;Checking;25.10.2025;$6.243,24
5390;1199;Credit Card;27.11.2025;-$1.296,46
5391;1199;Savings;5.03.2026;$6.442,58
5392;1199;Checking;18.02.2026;$9.873,42
5393;1200;Checking;20.10.2023;$11.289,84
5394;1200;Savings;22.08.2023;$48.713,93
5395;1201;Checking;11.04.2025;$15.242,26
5396;1201;Savings;21.03.2025;$71.743,15
5397;1202;Savings;1.05.2026;$103.746,34
5398;1203;Credit Card;26.03.2025;-$2.869,01
5399;1204;Credit Card;25.09.2025;-$2.575,03
5400;1205;Savings;18.10.2023;$105.590,13
5401;1206;Credit Card;2.06.2025;-$5.711,34
5402;1207;Checking;6.05.2024;$12.946,70
5403;1208;Credit Card;25.04.2023;-$5.910,13
5404;1208;Savings;1.05.2023;$25.160,10
5405;1209;Credit Card;27.03.2026;-$6.965,42
5406;1210;Credit Card;1.05.2026;-$2.180,76
5407;1211;Savings;8.05.2025;$117.772,15
5408;1211;Checking;14.02.2025;$4.036,49
5409;1211;Credit Card;22.12.2024;-$2.201,50
5410;1212;Checking;8.09.2024;$7.494,74
5411;1212;Savings;14.11.2024;$63.757,26
5412;1212;Credit Card;6.11.2024;-$1.477,33
5413;1213;Savings;18.04.2026;$60.641,13
5414;1214;Savings;10.06.2023;$75.015,17
5415;1215;Savings;29.08.2025;$85.137,40
5416;1215;Credit Card;2.02.2026;-$1.524,24
5417;1216;Credit Card;5.02.2024;-$3.339,67
5418;1216;Checking;31.01.2024;$10.482,97
5419;1216;Savings;15.12.2023;$30.471,15
5420;1217;Credit Card;5.01.2026;-$5.596,91
5421;1217;Savings;1.05.2026;$106.812,72
5422;1218;Checking;13.08.2023;$4.298,59
5423;1218;Savings;19.06.2023;$7.621,46
5424;1218;Credit Card;27.05.2023;-$2.402,02
5425;1219;Credit Card;2.02.2025;-$726,72
5426;1219;Checking;1.04.2025;$1.076,75
5427;1220;Credit Card;21.07.2023;-$3.770,74
5428;1220;Checking;3.12.2023;$11.186,26
5429;1220;Savings;11.07.2023;$30.596,53
5430;1221;Savings;6.11.2025;$8.662,54
5431;1221;Checking;7.12.2025;$16.397,75
5432;1221;Credit Card;4.12.2025;-$2.304,95
5433;1222;Credit Card;23.06.2024;-$911,88
5434;1223;Checking;24.08.2025;$4.764,27
5435;1223;Credit Card;18.08.2025;-$4.172,27
5436;1223;Savings;2.08.2025;$24.831,66
5437;1224;Checking;25.12.2024;$10.507,65
5438;1225;Checking;28.06.2025;$416,55
5439;1226;Savings;4.10.2023;$91.684,27
5440;1227;Credit Card;30.06.2024;-$4.535,74
5441;1227;Savings;15.05.2024;$33.952,27
5442;1228;Credit Card;1.05.2026;-$96,29
5443;1228;Savings;17.02.2026;$32.952,87
5444;1228;Checking;1.05.2026;$18.817,62
5445;1229;Savings;25.11.2024;$5.037,46
5446;1229;Credit Card;11.02.2025;-$5.410,63
5447;1229;Checking;30.01.2025;$7.933,80
5448;1230;Savings;31.12.2023;$110.316,62
5449;1230;Checking;17.06.2024;$11.764,84
5450;1231;Checking;1.05.2026;$14.487,73
5451;1232;Credit Card;31.10.2023;-$482,84
5452;1233;Credit Card;5.07.2023;-$1.756,20
5453;1234;Savings;4.06.2024;$65.805,58
5454;1235;Checking;6.04.2026;$3.000,94
5455;1235;Credit Card;30.11.2025;-$2.509,30
5456;1235;Savings;1.05.2026;$14.467,13
5457;1236;Savings;11.09.2025;$98.076,13
5458;1236;Credit Card;3.08.2025;-$3.901,59
5459;1236;Checking;6.07.2025;$18.326,97
5460;1237;Checking;15.07.2023;$1.894,20
5461;1237;Credit Card;14.05.2023;-$2.090,75
5462;1237;Savings;27.05.2023;$102.629,63
5463;1238;Savings;27.05.2024;$8.803,90
5464;1239;Credit Card;29.12.2024;-$4.112,81
5465;1240;Savings;22.05.2024;$43.420,42
5466;1240;Checking;29.04.2024;$16.773,61
5467;1241;Checking;1.05.2023;$17.816,13
5468;1241;Credit Card;31.08.2023;-$6.134,96
5469;1241;Savings;14.08.2023;$51.835,06
5470;1242;Savings;25.12.2023;$65.926,67
5471;1242;Credit Card;14.02.2024;-$3.306,48
5472;1243;Credit Card;2.11.2023;-$1.555,03
5473;1243;Savings;17.09.2023;$53.630,74
5474;1243;Checking;31.01.2024;$18.277,71
5475;1244;Credit Card;1.05.2026;-$6.945,61
5476;1245;Savings;1.05.2026;$28.080,39
5477;1246;Savings;11.10.2024;$6.678,54
5478;1246;Checking;15.01.2025;$15.939,10
5479;1247;Savings;7.09.2023;$111.176,35
5480;1248;Credit Card;20.02.2026;-$707,46
5481;1248;Savings;17.10.2025;$92.068,48
5482;1249;Credit Card;30.03.2023;-$117,22
5483;1249;Savings;7.06.2023;$68.786,15
5484;1249;Checking;9.02.2023;$436,94
5485;1250;Checking;30.08.2024;$13.426,99
5486;1251;Credit Card;3.01.2025;-$5.518,52
5487;1251;Savings;31.10.2024;$47.957,27
5488;1252;Checking;7.12.2024;$2.686,14
5489;1252;Credit Card;27.02.2025;-$6.195,87
5490;1252;Savings;17.09.2024;$64.846,90
5491;1253;Credit Card;3.02.2024;-$1.590,73
5492;1253;Checking;14.04.2024;$17.142,28
5493;1254;Checking;1.05.2026;$8.368,67
5494;1255;Checking;4.12.2023;$13.501,81
5495;1255;Credit Card;24.09.2023;-$779,11
5496;1255;Savings;4.11.2023;$58.290,43
5497;1256;Credit Card;7.01.2024;-$3.015,49
5498;1256;Checking;30.10.2023;$5.913,68
5499;1256;Savings;1.10.2023;$90.677,57
5500;1257;Credit Card;4.03.2024;-$1.922,49
5501;1257;Savings;29.12.2023;$29.591,69
5502;1258;Checking;10.09.2025;$13.931,62
5503;1258;Credit Card;3.09.2025;-$3.011,78
5504;1258;Savings;26.11.2025;$63.102,07
5505;1259;Checking;25.06.2023;$16.711,74
5506;1259;Savings;15.08.2023;$94.807,99
5507;1260;Checking;29.06.2024;$3.449,09
5508;1261;Credit Card;17.06.2024;-$3.019,77
5509;1261;Savings;6.03.2024;$90.588,36
5510;1262;Credit Card;10.10.2023;-$2.933,57
5511;1262;Savings;3.08.2023;$94.965,66
5512;1263;Checking;11.04.2025;$13.297,72
5513;1263;Credit Card;1.03.2025;-$4.819,87
5514;1264;Credit Card;3.07.2023;-$4.976,85
5515;1265;Credit Card;20.07.2024;-$190,10
5516;1265;Savings;25.03.2024;$26.336,94
5517;1266;Savings;11.07.2023;$57.711,56
5518;1266;Credit Card;15.09.2023;-$1.856,76
5519;1266;Checking;29.10.2023;$3.871,30
5520;1267;Savings;20.09.2024;$108.951,64
5521;1268;Savings;12.10.2024;$96.870,22
5522;1269;Savings;11.01.2025;$48.340,17
5523;1269;Checking;12.04.2025;$16.192,88
5524;1269;Credit Card;1.03.2025;-$6.608,06
5525;1270;Savings;3.03.2025;$48.017,53
5526;1270;Checking;8.08.2025;$2.681,80
5527;1270;Credit Card;27.07.2025;-$5.002,06
5528;1271;Checking;28.06.2025;$4.362,12
5529;1271;Credit Card;6.06.2025;-$6.739,99
5530;1271;Savings;21.08.2025;$17.607,92
5531;1272;Savings;23.09.2024;$35.762,23
5532;1273;Checking;1.05.2026;$17.860,96
5533;1273;Savings;1.05.2026;$119.652,13
5534;1274;Checking;24.10.2025;$12.181,46
5535;1274;Savings;26.07.2025;$18.833,74
5536;1275;Savings;24.01.2023;$113.944,36
5537;1276;Checking;5.02.2025;$17.558,51
5538;1277;Savings;28.05.2023;$117.784,87
5539;1278;Savings;7.04.2025;$58.293,42
5540;1279;Credit Card;21.11.2025;-$2.779,23
5541;1279;Checking;1.10.2025;$11.428,12
5542;1279;Savings;9.01.2026;$7.435,82
5543;1280;Credit Card;21.08.2023;-$979,21
5544;1280;Savings;15.12.2023;$38.694,04
5545;1281;Savings;1.05.2026;$7.464,88
5546;1282;Checking;1.05.2026;$4.785,68
5547;1282;Credit Card;21.04.2026;-$4.788,00
5548;1283;Savings;1.05.2026;$78.327,25
5549;1283;Checking;1.05.2026;$1.218,41
5550;1284;Savings;26.03.2023;$23.437,04
5551;1284;Credit Card;18.06.2023;-$5.247,09
5552;1284;Checking;5.06.2023;$2.091,14
5553;1285;Credit Card;31.12.2023;-$5.664,65
5554;1285;Savings;29.11.2023;$56.107,42
5555;1285;Checking;24.10.2023;$9.532,30
5556;1286;Credit Card;25.10.2025;-$4.162,98
5557;1286;Checking;14.10.2025;$12.832,35
5558;1286;Savings;11.02.2026;$69.266,97
5559;1287;Checking;1.02.2023;$3.565,20
